Topic_No,Topic_Perc_Contrib,Topic_Keywords,Text,Clean_Text
3,0.4245,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Russian Rosgvardia troops, likely spetsnaz, crossing the Perekop checkpoint from Crimea into Kherson Oblast today. https://t.co/7Q0z6tWFxt https://t.co/4P9lHEqWvQ",russian troop cross lheqwvq
1,0.6167,"time, fight, https, join, state, land, wrong, find, economy, invade","What is happening in Ukraine is affecting all of us, whether you want to accept that or not. The right thing to do in a time of fear is to stand for what is right. Defending the innocent is never the wrong thing to do.",happen accept time fear stand defend innocent wrong
5,0.7443,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Today on the campaign trail I had some tough conversations with people about vaccine mandates [sic]. Tonight I watch young women in fluffy pink jackets stand in line in Kyiv to get guns to fight the Russians. With breathtaking bravery. And Craig Kelly bleats about Freedom.,campaign trail tough conversation people vaccine mandate sic tonight watch young woman fluffy pink jacket stand kyiv gun fight breathtaking bleat freedom
7,0.7681,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","ICYMI: n light of Russia sanctions, Fed chair calls for legislative framework to stop illicit crypto use https://t.co/M8KnSq22ua",icymi light sanction feed chair call legislative framework illicit knsq ua
5,0.6755,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","By now over a thousand refugees from #Ukraine have reached #Estonia, including about 300 children. We greet the kids with soft toys at the Estonian border. #StandWithUkraine️ https://t.co/QOmWdf0Qrg",refugee reach include child greet kid soft toy estonian border https qomwdf
7,0.7476,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Whoever is coming up with reactive strategy by backing Putin in a corner might want to consider he has a nuclear option. If he thinks he won’t survive he might determine no one else should like HRC I’m taking DC with me,come reactive strategy back nuclear option think survive determine
6,0.5325,"country, day, attack, lose, leader, sanction, death, good, tell, read","He also writes about the possibility of Ukraine joining NATO which he judges ""will find it incomparably harder to acquiesce in"" because it ""would be to acknowledge that Ukraine’s destiny is no longer organically linked to Russia’s"" https://t.co/MEbwpORj78",write possibility ukraine join judge find incomparably hard destiny long organically link https mebwporj
5,0.6554,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","At Horizon, we are deeply concerned and saddened by the ongoing conflict in Ukraine. To support relief efforts, our global team came together to collect supplies and raise funds for &amp; the https://t.co/VrT64BIDIw",horizon deeply concern sadden ongoing conflict ukraine support relief effort global team collect supply raise_fund amp https
1,0.4406,"time, fight, https, join, state, land, wrong, find, economy, invade",#UkraineUnderAttack Join us in this Democracy Circle to connect and support each other around our concerns about the brutal invasion of Ukraine. https://t.co/vsqFxs2ARJ - https://t.co/FipJFyIJEF,join connect support concern brutal invasion
6,0.4413,"country, day, attack, lose, leader, sanction, death, good, tell, read","Russian tanks in cities where they’re not wanted. Budapest 1956, Prague 1968 now Ukraine 2022.",russian tank city want
6,0.4631,"country, day, attack, lose, leader, sanction, death, good, tell, read",#china https://t.co/zJtBobPbPy Who s afraid of sanctions? Beijing... China’s credit card processor UnionPay has refused to work with banks in Russia for fear of being targeted by sanctions over its war on Ukraine,zjtbobpbpy afraid sanction card processor unionpay refuse work bank fear target sanction war ukraine
0,0.6736,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Unacceptable. The only acceptable end result is leaving all of Donbas, southern Ukraine, and Crimea. Returning all hostages from captivity. And paying damages. And sanctions will stay intact.",unacceptable acceptable result leave return captivity pay damage sanction stay intact
3,0.5342,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Putin stops Azovstal assault. GL collective west silence. Putin s BIG warning Sarmat ICBM. Update 2 https://t.co/hqGRLdCLQJ,stop azovstal assault gl warning sarmat icbm update https
6,0.3492,"country, day, attack, lose, leader, sanction, death, good, tell, read",I have come to the same conclusion and Putin would be crucified and set on fire (Azov style).,conclusion crucify set fire azov style
4,0.4698,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Mariupol steelworks: Video appears to show children in Azovstal bunker https://t.co/nWn4moJ6R8,steelwork video appear child azovstal moj
