id_str,created_at,full_text,Stance Label
488064625087229952,2014-07-12 20:57:29,"#Putin meets President Cristina #Kirchner in Argentina, continuing six-day tour of #LatinAmerica @KremlinRussia_E http://t.co/oKVwKUIwwI",Irrelevant
1250186480120745985,2020-04-14 22:17:38,"Here's former Bush administration official turned-think tank desk jockey @DAlexBlumenthal calling for ramped up ""political warfare"" against China and reviving the Cold War era USIA propaganda arm to train ""information warriors"" to attack China and Russia. https://t.co/imbL23epZj",Irrelevant
1262691931081105408,2020-05-19 10:29:50,"TikTok contents -
- Acid Attack 
- Violence
- Rape
- Spitting etc etc 
Does any sane social media platform promote such things? Deep propaganda against India &amp; its culture. Spoiling Youth generations . 
#BanTikToklnlndia #tiktokexposed #tiktokban https://t.co/zc9wFRxtJ5",Irrelevant
1297881714383962116,2020-08-24 13:01:28,"#THREAD

TODAY I WILL REMOVE ALL MISUNDERSTANDING &amp; WRONG INFO ABOUT KRISHNA RAASLEELA.

PLEASE BOOKMARK THIS THREAD AND REFUTE THOSE GUYS WHO ARE DOING PROPAGANDA IN THE NAME OF BHAGWAN KRISHNA.

So lets start the thread with actual proofs.... https://t.co/jCyGu9xdWN",Irrelevant
1380479059704963075,2021-04-09 11:13:50,If you ever wondered what you’d do in Nazi Germany in the 30’s I want you to take a good long look at these anti trans laws being passed right and know that it was these kinds of laws that made my family flee Germany,Irrelevant
1497026099494023173,2022-02-25 01:50:10,"Russian Rosgvardia troops, likely spetsnaz, crossing the Perekop checkpoint from Crimea into Kherson Oblast today.
https://t.co/7Q0z6tWFxt https://t.co/4P9lHEqWvQ",Neutral
1497258644987002880,2022-02-25 17:14:13,"@WrestlingWombat @HStefansonMB What is happening in Ukraine is affecting all of us, whether you want to accept that or not. The right thing to do in a time of fear is to stand for what is right. Defending the innocent is never the wrong thing to do.",ProUkraine
1497699446146043907,2022-02-26 22:25:48,Gravel Institute was created to counteract right-wing misinformation. Yet it has itself become a purveyor of authoritarian propaganda. I spoke to @WillBredderman of the @thedailybeast on the subject. https://t.co/Lo86E4IxUc,Irrelevant
1497872993732628484,2022-02-27 09:55:25,"Today on the campaign trail I had some tough conversations with people about vaccine mandates [sic].

Tonight I watch young women in fluffy pink jackets stand in line in Kyiv to get guns to fight the Russians. With breathtaking bravery. 

And Craig Kelly bleats about Freedom.",Irrelevant
1498321526608867335,2022-02-28 15:37:44,"FREEBIE ALERT ⚠️
SAMMY F
https://t.co/WuwsJATaMn

✨ $60 gets you a LIFETIME PASS with regular updates. Over 300 guys' full files currently featured.✨

🔥 Part of 'The British Invasion' collection 🔥

Telegram: https://t.co/QJwubnwEs3 📢 https://t.co/L9J8AEIJjh",Irrelevant
